t;z;y;vz;vy;az;ay;KE;V
9.000000000000001e-15;8.447286862844921e-9;1.3202860159658039e-10;5.163503565093124e6;-253632.47869694696;-1.657682991900732e21;-2.9931131577212826e21;8.879746226950394e-14;7.788166636183812e-14
9.001000000000001e-15;8.452450366410015e-9;1.3177496911788344e-10;5.161845882101224e6;-256625.59185466825;-1.413042654564148e21;-3.5564212008627916e21;8.874566816248e-14;7.79293678901794e-14
9.002e-15;8.457612212292116e-9;1.3151834352602877e-10;5.160432839446659e6;-260182.01305553105;-9.758318626772278e20;-4.0193295938229806e21;8.870331348201159e-14;7.796438553083002e-14
9.003e-15;8.462772645131563e-9;1.3125816151297323e-10;5.159457007583982e6;-264201.342649354;-3.8580019404707876e20;-4.2697449995540245e21;8.867685705312283e-14;7.798084513702716e-14
9.004e-15;8.467932102139147e-9;1.3099396017032387e-10;5.159071207389935e6;-268471.087648908;2.5457776232407643e20;-4.237154786957043e21;8.867118715789268e-14;7.797554630371503e-14
9.005e-15;8.473091173346537e-9;1.3072548908267497e-10;5.159325785152259e6;-272708.24243586505;8.214416149919147e20;-3.9349099980884756e21;8.86875335090508e-14;7.794941269113091e-14
9.006e-15;8.478250499131689e-9;1.304527808402391e-10;5.160147226767251e6;-276643.15243395354;1.227997523858518e21;-3.4505824659039464e21;8.872287990162105e-14;7.790704830274695e-14
9.007000000000001e-15;8.483410646358456e-9;1.3017613768780515e-10;5.1613752242911095e6;-280093.7348998575;1.4518157598415682e21;-2.8948565375036214e21;8.87713746815364e-14;7.785476811471246e-14
9.008000000000001e-15;8.488572021582747e-9;1.298960439529053e-10;5.162827040050951e6;-282988.5914373611;1.520015264325612e21;-2.3552605079550904e21;8.88265909173426e-14;7.779854625861845e-14
9.009000000000001e-15;8.493734848622798e-9;1.2961305536146794e-10;5.164347055315277e6;-285343.8519453162;1.4788777899285907e21;-1.8803297671252104e21;8.888319313772136e-14;7.774288975172093e-14
9.010000000000001e-15;8.498899195678113e-9;1.2932771150952261e-10;5.165825933105205e6;-287224.1817124414;1.371875705772298e21;-1.4865530800448673e21;8.893752823990705e-14;7.769066064689675e-14
9.011e-15;8.504065021611219e-9;1.2904048732781018e-10;5.167197808810977e6;-288710.73479248624;1.2310915723740575e21;-1.1717094188579775e21;8.898747133581049e-14;7.764339831561276e-14
9.012e-15;8.50923221942003e-9;1.2875177659301768e-10;5.168428900383351e6;-289882.44421134423;1.0769942705100714e21;-9.255156027030752e20;8.903199963369339e-14;7.760175396631527e-14
9.013e-15;8.514400648320414e-9;1.2846189414880634e-10;5.169505894653861e6;-290807.9598140473;9.212396789906689e20;-7.358012231015895e20;8.907077764281027e-14;7.756585432032988e-14
9.014e-15;8.519570154215068e-9;1.281710861889923e-10;5.170427134332852e6;-291543.76103714894;7.696845603374945e20;-5.913605945934095e20;8.910384997955991e-14;7.753555261594833e-14
9.015e-15;8.524740581349402e-9;1.2787954242795513e-10;5.17119681889319e6;-292135.12163174234;6.246907283236696e20;-4.82939414884752e20;8.913144318582505e-14;7.751058374122145e-14
9.016000000000001e-15;8.529911778168296e-9;1.275874073063234e-10;5.171821509621513e6;-292618.0610466271;4.8665131731823e20;-4.033516455190138e20;8.915384875699691e-14;7.749065281026432e-14
9.017000000000001e-15;8.535083599677918e-9;1.2729478924527676e-10;5.172308160938831e6;-293021.41269214614;3.5492597281149393e20;-3.472670442906444e20;8.9171359006385e-14;7.747548203996702e-14
9.018000000000001e-15;8.540255907838856e-9;1.270017678325846e-10;5.172663086911643e6;-293368.6797364368;2.28387851047198e20;-3.109232880132816e20;8.918423480007168e-14;7.746483303873948e-14
9.019000000000001e-15;8.545428570925767e-9;1.2670839915284817e-10;5.17289147476269e6;-293679.6030244501;1.057369146958065e20;-2.9186645139924972e20;8.919269164556226e-14;7.745851510078969e-14
9.02e-15;8.55060146240053e-9;1.2641471954982372e-10;5.172997211677386e6;-293971.4694758493;-1.4315862871299928e19;-2.8875330369331947e20;8.919689612970974e-14;7.745638555065033e-14
9.021e-15;8.555774459612208e-9;1.2612074808034787e-10;5.172982895814515e6;-294260.2227795426;-1.3292429655763339e20;-3.0121868133918776e20;8.919696836820905e-14;7.745834520365099e-14
9.022e-15;8.560947442508024e-9;1.2582648785756832e-10;5.172849971517957e6;-294561.4414608818;-2.50994689074079e20;-3.297984801901218e20;8.919298851666433e-14;7.746433003161165e-14
